,Route,Ward,District,Price,Type Of New,Type Of Estate,Owned,Legal,Square,Width,Length,Floors,Bedrooms,Direction,Road,DinningRoom,Kitchen,Terrace,Garage
366,Đường Lý Nhật Quang., Phường Nại Hiên Đông, Quận Sơn Trà,13500000000.0,Cần bán,"Biệt thự, nhà liền kề",Missing value,Sổ hồng/ Sổ đỏ,162.0,6.7,24.17910447761194,5.0,3.0,Tây Bắc,10.0,Missing value,Missing value,Missing value,Missing value
367,Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn,4000000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,60.0,5.0,12.0,2.0,2.0,Đông Nam,5.0,Missing value,Missing value,Missing value,Missing value
368,Đường Trần Bình Trọng, Phường Hải Châu I, Quận Hải Châu,3950000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,74.0,8.0,9.0,2.7620345140781106,4.425570776255708,Tây,2.5,Y,Y,Missing value,Missing value
369,Đường Trần Tấn Mới, Phường Hòa Thuận Tây, Quận Hải Châu,5400000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,82.0,4.5,18.2,2.7620345140781106,4.425570776255708,Đông Bắc,5.5,Missing value,Missing value,Missing value,Missing value
370,Đường Trương Định, Phường Mân Thái, Quận Sơn Trà,3200000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,70.0,6.3,10.8,1.0,3.0,Tây Bắc,3.0,Y,Y,Missing value,Missing value
371,Đường Ông Ích Khiêm, Phường Vĩnh Trung, Quận Thanh Khê,2850000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,52.0,4.0,13.0,2.0,3.0,Missing value,2.5,Y,Y,Missing value,Missing value
372,Đường Dương Đình Nghệ, Phường An Hải Bắc, Quận Sơn Trà,18500000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,132.0,5.4,24.444444444444443,2.7620345140781106,4.425570776255708,Nam,7.5,Missing value,Missing value,Missing value,Missing value
373,Đường Nguyễn Thiện Kế, Phường An Hải Đông, Quận Sơn Trà,3650000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,38.0,3.35,11.343283582089551,2.0,2.0,Tây Nam,5.5,Missing value,Missing value,Missing value,Missing value
374,Đường Hoàng Hoa Thám, Phường Tân Chính, Quận Thanh Khê,4300000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,101.0,7.0,14.428571428571429,2.7620345140781106,4.425570776255708,Nam,4.0,Missing value,Missing value,Missing value,Missing value
375,Đường Hoàng Văn Thụ, Phường Phước Ninh, Quận Hải Châu,4000000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,62.0,5.6,11.0,2.0,3.0,Missing value,3.0,Y,Y,Missing value,Missing value
376,Đường Nguyễn Trung Trực, Phường An Hải Bắc, Quận Sơn Trà,3500000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,88.0,6.0,14.666666666666666,3.0,3.0,Tây Bắc,2.0,Missing value,Missing value,Missing value,Missing value
377,Đường Trần Quang Khải, Phường Thọ Quang, Quận Sơn Trà,3200000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,86.0,4.4,19.0,2.7620345140781106,4.425570776255708,Đông Bắc,3.5,Y,Y,Missing value,Missing value
378,Đường Trưng Nữ Vương, Phường Hòa Thuận Đông, Quận Hải Châu,2600000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,41.0,4.8,8.541666666666668,2.0,2.0,Đông Bắc,2.5,Y,Y,Missing value,Missing value
379,Đường Chu Huy Mân, Phường An Hải Đông, Quận Sơn Trà,6500000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,142.0,6.8,20.0,2.7620345140781106,4.425570776255708,Đông Bắc,5.0,Y,Y,Missing value,Missing value
380,Đường Núi Thành, Phường Hòa Cường Nam, Quận Hải Châu,3650000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,80.0,4.5,17.77777777777778,2.7620345140781106,4.425570776255708,Missing value,4.0,Y,Y,Missing value,Missing value
381,Đường Lê Phụ Trần, Phường Nại Hiên Đông, Quận Sơn Trà,4500000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,69.0,5.0,13.8,2.0,2.0,Tây Nam,5.5,Y,Y,Missing value,Missing value
382,Đường Đa Mặn Đông 4, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,10500000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,185.0,10.0,18.0,2.7620345140781106,4.425570776255708,Tây Bắc,7.5,Y,Y,Missing value,Missing value
383,Đường Trần Hoành, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,2300000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,60.0,5.0,12.0,2.7620345140781106,4.425570776255708,Tây Nam,5.0,Missing value,Missing value,Missing value,Missing value
384,Đường Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê,3650000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,43.0,4.0,10.75,4.0,4.0,Đông Bắc,2.5,Y,Y,Missing value,Missing value
385,Đường Chu Huy Mân, Phường Nại Hiên Đông, Quận Sơn Trà,7400000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,160.0,8.0,20.0,2.7620345140781106,4.425570776255708,Đông Bắc,7.5,Y,Y,Missing value,Missing value
386,Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê,3200000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,107.0,4.2,25.476190476190474,1.0,2.0,Tây,2.5,Y,Y,Missing value,Missing value
387,Đường An Thượng 21, Phường Mỹ An, Quận Ngũ Hành Sơn,5100000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,70.0,5.0,14.0,2.7620345140781106,4.425570776255708,Missing value,3.75,Y,Y,Missing value,Missing value
388,Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu,5100000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,87.0,4.5,20.0,3.0,3.0,Tây,6.0,Y,Y,Missing value,Missing value
389,Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu,4390000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,50.0,5.0,10.0,3.0,3.0,Đông Bắc,2.5,Y,Y,Missing value,Missing value
390,Đường Ngô Trí Hòa, Phường Nại Hiên Đông, Quận Sơn Trà,3400000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,72.0,4.0,18.0,1.0,2.0,Đông Bắc,5.5,Y,Y,Missing value,Missing value
391,Đường Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn,25000000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,164.0,9.0,18.3,2.7620345140781106,4.425570776255708,Tây Nam,7.5,Missing value,Missing value,Missing value,Missing value
392,Đường Đỗ Quang, Phường Vĩnh Trung, Quận Thanh Khê,5100000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,112.0,6.0,18.666666666666668,2.0,2.0,Nam,2.5,Y,Y,Missing value,Missing value
393,Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu,22500000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,195.0,6.1715045871559635,31.59683303255269,1.0,2.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
394,Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu,3480000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,57.0,6.5,8.76923076923077,2.0,3.0,Tây Nam,2.0,Y,Y,Missing value,Missing value
395,Đường 2/9, Phường Bình Hiên, Quận Hải Châu,40000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,114.0,6.1715045871559635,18.47199469595388,2.0,3.0,Missing value,20.0,Missing value,Missing value,Missing value,Missing value
396,Đường Thi Sách, Phường Hòa Thuận Tây, Quận Hải Châu,4500000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,85.0,6.1715045871559635,13.77297850136912,1.0,2.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
397,Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,190000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,590.0,6.1715045871559635,95.60067430362096,3.0,5.0,Missing value,20.0,Missing value,Missing value,Missing value,Missing value
398,Đường Trần Cao Vân, Phường An Khê, Quận Thanh Khê,65000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,428.0,6.1715045871559635,69.35099763042334,5.0,7.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
399,Đường Đặng Tử Kính, Phường Hải Châu I, Quận Hải Châu,10200000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,75.0,6.1715045871559635,12.152628089443342,3.0,4.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
400,Đường Võ Văn Kiệt, Phường Phước Mỹ, Quận Sơn Trà,12600000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,151.0,6.1715045871559635,24.46729122007926,1.0,1.0,Missing value,10.0,Missing value,Missing value,Missing value,Missing value
401,Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,55000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,161.0,6.1715045871559635,26.08764163200504,3.0,4.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
402,Đường Ngô Văn Sở, Phường Hòa Khánh Nam, Quận Liên Chiểu,10000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,120.0,6.1715045871559635,19.444204943109348,4.0,6.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
403,Đường Tôn Quang Phiệt, Phường An Hải Bắc, Quận Sơn Trà,8000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,102.0,6.1715045871559635,16.527574201642945,3.0,10.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
404,Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà,12600000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,152.0,6.1715045871559635,24.629326261271842,1.0,1.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
405,Đường Hải Phòng, Phường Thạch Thang, Quận Hải Châu,20000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,96.0,6.1715045871559635,15.555363954487477,1.0,2.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
406,Đường Hoàng Thúc Trâm, Phường Hải Châu I, Quận Hải Châu,10700000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Missing value,144.0,6.1715045871559635,23.333045931731217,2.7620345140781106,4.425570776255708,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
407,Đường Nguyễn Đăng Đạo, Phường Khuê Trung, Quận Cẩm Lệ,28000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,429.0,6.1715045871559635,69.51303267161592,2.0,3.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
408,Đường Hà Xuân 1, Phường Chính Gián, Quận Thanh Khê,4250000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,79.0,6.1715045871559635,12.800768254213654,2.0,2.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
409,Đường Lâm Hoành, Phường Phước Mỹ, Quận Sơn Trà,14500000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Missing value,126.0,6.1715045871559635,20.416415190264814,2.7620345140781106,4.425570776255708,Missing value,10.0,Missing value,Missing value,Missing value,Missing value
410,Đường Thi Sách, Phường Hòa Thuận Tây, Quận Hải Châu,4500000000.0,Cần bán,Nhà trong hẻm,Missing value,Missing value,85.0,5.0,17.0,1.0,1.0,Missing value,6.0,Missing value,Missing value,Missing value,Missing value
411,Đường Hải Phòng, Phường Thạch Thang, Quận Hải Châu,20000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,100.0,5.2,18.5,1.0,2.0,Missing value,15.0,Missing value,Missing value,Missing value,Missing value
412,Đường Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn,38000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,128.0,6.1715045871559635,20.74048527264997,10.0,18.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
413,Đường Ngô Quang Huy, Phường Phước Mỹ, Quận Sơn Trà,27000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,180.0,6.1715045871559635,29.166307414664022,5.0,15.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
414,Đường Trần Hưng Đạo, Phường An Hải Tây, Quận Sơn Trà,141000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,780.0,6.1715045871559635,126.38733213021077,4.0,6.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
415,Đường 2/9, Phường Bình Hiên, Quận Hải Châu,40000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,114.0,6.1715045871559635,18.47199469595388,2.0,3.0,Missing value,20.0,Missing value,Missing value,Missing value,Missing value
416,Đường Đỗ Quang, Phường Vĩnh Trung, Quận Thanh Khê,7000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,51.0,6.1715045871559635,8.263787100821473,2.0,3.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
417,Đường Phước Trường 11, Phường Phước Mỹ, Quận Sơn Trà,15000000000.0,Cần bán,"Nhà hàng, khách sạn",Missing value,Missing value,100.0,6.1715045871559635,16.20350411925779,8.0,15.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
418,Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu,28000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,155.0,6.1715045871559635,25.115431384849575,4.0,6.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
419,Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,190000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,590.0,6.1715045871559635,95.60067430362096,3.0,5.0,Missing value,20.0,Missing value,Missing value,Missing value,Missing value
420,Đường Đặng Tử Kính, Phường Hải Châu I, Quận Hải Châu,10200000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,75.0,6.1715045871559635,12.152628089443342,3.0,4.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
421,Đường Võ Văn Kiệt, Phường Phước Mỹ, Quận Sơn Trà,12600000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,151.0,6.1715045871559635,24.46729122007926,1.0,1.0,Missing value,10.0,Missing value,Missing value,Missing value,Missing value
422,Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,55000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,161.0,6.1715045871559635,26.08764163200504,3.0,4.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
423,Đường Nguyễn Tri Phương, Phường Thạc Gián, Quận Thanh Khê,67000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,592.0,6.1715045871559635,95.92474438600611,3.0,4.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
424,Đường Tôn Quang Phiệt, Phường An Hải Bắc, Quận Sơn Trà,8000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,102.0,6.1715045871559635,16.527574201642945,3.0,10.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
425,Đường Võ Nguyên Giáp, Phường Mỹ An, Quận Ngũ Hành Sơn,115000000000.0,Cần bán,"Nhà hàng, khách sạn",Missing value,Missing value,280.0,6.1715045871559635,45.36981153392181,15.0,61.0,Missing value,6.0,Missing value,Missing value,Missing value,Missing value
426,Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà,12600000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,152.0,6.1715045871559635,24.629326261271842,1.0,1.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
427,Đường Phước Trường 15, Phường Phước Mỹ, Quận Sơn Trà,15500000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,100.0,6.1715045871559635,16.20350411925779,8.0,16.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
428,Đường Lương Nhữ Hộc, Phường Khuê Trung, Quận Cẩm Lệ,7900000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,74.0,6.1715045871559635,11.990593048250764,2.0,3.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
429,Đường Lâm Hoành, Phường Phước Mỹ, Quận Sơn Trà,14500000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Missing value,126.0,6.1715045871559635,20.416415190264814,2.7620345140781106,4.425570776255708,Missing value,10.0,Missing value,Missing value,Missing value,Missing value
430,Đường Nguyễn Tri Phương, Phường Chính Gián, Quận Thanh Khê,148000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,800.0,6.1715045871559635,129.62803295406232,3.0,5.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
431,Đường Ngô Văn Sở, Phường Hòa Khánh Bắc, Quận Liên Chiểu,10000000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Missing value,120.0,6.1715045871559635,19.444204943109348,2.7620345140781106,4.425570776255708,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
432,Đường Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn,38000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,128.0,6.1715045871559635,20.74048527264997,10.0,18.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
433,Đường Phước Trường 14, Phường Phước Mỹ, Quận Sơn Trà,15000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,100.0,6.1715045871559635,16.20350411925779,8.0,15.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
434,Đường Trần Hưng Đạo, Phường An Hải Tây, Quận Sơn Trà,141000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,780.0,6.1715045871559635,126.38733213021077,4.0,6.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
435,Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu,7500000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,142.0,6.1715045871559635,23.00897584934606,2.0,3.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
436,Đường Ngô Quyền, Phường An Hải Đông, Quận Sơn Trà,4950000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,100.0,6.1715045871559635,16.20350411925779,2.0,3.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
437,Đường Hải Hồ, Phường Thanh Bình, Quận Hải Châu,4300000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,88.0,6.1715045871559635,14.259083624946856,1.0,3.0,Missing value,5.0,Missing value,Missing value,Missing value,Missing value
438,Đường Lý Thái Tông, Phường Thanh Khê Tây, Quận Thanh Khê,8700000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,90.0,6.1715045871559635,14.583153707332011,2.0,3.0,Missing value,5.0,Missing value,Missing value,Missing value,Missing value
439,Đường Triệu Nữ Vương, Phường Hải Châu II, Quận Hải Châu,20000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,55.0,6.55,16.0,5.0,11.0,Missing value,10.0,Missing value,Missing value,Missing value,Missing value
440,Đường Trần Đức Thảo, Phường Hòa Cường Nam, Quận Hải Châu,7200000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,90.0,6.1715045871559635,14.583153707332011,2.0,3.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
441,Đường 3/2, Phường Thuận Phước, Quận Hải Châu,3900000000.0,Cần bán,Nhà trong hẻm,Missing value,Missing value,59.0,6.1715045871559635,9.560067430362096,1.0,2.0,Missing value,5.0,Missing value,Missing value,Missing value,Missing value
442,Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu,4200000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,76.0,6.1715045871559635,12.314663130635921,2.0,3.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
443,Đường Bình Thái 1, Phường Hòa Thọ Đông, Quận Cẩm Lệ,7000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,234.0,6.1715045871559635,37.91619963906323,1.0,3.0,Missing value,5.0,Missing value,Missing value,Missing value,Missing value
444,Đường Nguyễn Tri Phương, Phường Thạc Gián, Quận Thanh Khê,67000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,592.0,6.1715045871559635,95.92474438600611,3.0,4.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
445,Đường Phước Trường 17, Phường An Hải Bắc, Quận Sơn Trà,5150000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,82.0,5.0,16.3,1.0,1.0,Missing value,6.0,Missing value,Missing value,Missing value,Missing value
446,Đường Phước Trường 17, Phường An Hải Bắc, Quận Sơn Trà,5150000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Missing value,88.0,6.1715045871559635,14.259083624946856,2.7620345140781106,4.425570776255708,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
447,Đường Hoàng Hoa Thám, Phường Chính Gián, Quận Thanh Khê,4300000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,116.0,6.1715045871559635,18.796064778339037,2.0,3.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
448,Đường Lê Duẩn, Phường Tân Chính, Quận Thanh Khê,4300000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,114.0,6.1715045871559635,18.47199469595388,1.0,2.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
449,Đường Lương Nhữ Hộc, Phường Khuê Trung, Quận Cẩm Lệ,7900000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,74.0,6.1715045871559635,11.990593048250764,2.0,3.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
450,Đường Phạm Văn Nghị, Phường Thạc Gián, Quận Thanh Khê,9200000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,60.0,6.1715045871559635,9.722102471554674,2.0,3.0,Missing value,5.0,Missing value,Missing value,Missing value,Missing value
451,Đường Tố Hữu, Phường Hòa Cường Nam, Quận Hải Châu,8700000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,77.0,6.1715045871559635,12.476698171828499,5.0,7.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
452,Đường Nguyễn Hữu Dật, Phường Hòa Cường Bắc, Quận Hải Châu,11500000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,100.0,6.1715045871559635,16.20350411925779,2.0,3.0,Missing value,5.0,Missing value,Missing value,Missing value,Missing value
453,Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn,140000000000.0,Cần bán,"Nhà hàng, khách sạn",Missing value,Missing value,294.0,6.1715045871559635,47.6383021106179,16.0,97.0,Missing value,10.0,Missing value,Missing value,Missing value,Missing value
454,Đường Lương Ngọc Quyến, Phường Thanh Bình, Quận Hải Châu,13500000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,141.0,6.1715045871559635,22.846940808153484,2.0,3.0,Missing value,5.0,Missing value,Missing value,Missing value,Missing value
455,Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê,11900000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,67.0,6.1715045871559635,10.85634775990272,3.0,4.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
456,Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn,30000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,123.0,6.1715045871559635,19.93031006668708,2.0,3.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
457,Đường Mai Thúc Lân, Phường Mỹ An, Quận Ngũ Hành Sơn,174000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,116.0,6.1715045871559635,18.796064778339037,1.0,2.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
458,Đường Ngũ Hành Sơn, Phường Mỹ An, Quận Ngũ Hành Sơn,12500000000.0,Cần bán,"Phòng trọ, nhà trọ",Missing value,Missing value,351.0,6.1715045871559635,56.87429945859484,5.0,18.0,Missing value,5.0,Missing value,Missing value,Missing value,Missing value
459,Đường Tô Ngọc Vân, Phường Vĩnh Trung, Quận Thanh Khê,5000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,54.0,6.1715045871559635,8.749892224399206,3.0,4.0,Missing value,5.0,Missing value,Missing value,Missing value,Missing value
460,Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,3200000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,73.0,6.1715045871559635,11.828558007058186,1.0,2.0,Missing value,5.0,Missing value,Missing value,Missing value,Missing value
461,Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ,12500000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,213.0,6.1715045871559635,34.513463774019094,2.0,3.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
462,Đường Phạm Phú Thứ, Phường Hải Châu I, Quận Hải Châu,16000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,59.0,6.1715045871559635,9.560067430362096,4.0,6.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
463,Đường Mạc Thị bưởi, Phường Hòa Cường Nam, Quận Hải Châu,7200000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,86.0,6.1715045871559635,13.935013542561698,4.0,6.0,Missing value,5.0,Missing value,Missing value,Missing value,Missing value
464,Đường Duy Tân, Phường Hòa Thuận Đông, Quận Hải Châu,7500000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,123.0,6.1715045871559635,19.93031006668708,1.0,2.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
465,Đường Lê Đình Thám, Phường Hòa Thuận Đông, Quận Hải Châu,14500000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,90.0,6.1715045871559635,14.583153707332011,3.0,4.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
466,Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn,13900000000.0,Cần bán,"Nhà hàng, khách sạn",Missing value,Missing value,99.0,6.1715045871559635,16.041469078065212,18.0,4.425570776255708,Missing value,6.0,Missing value,Missing value,Missing value,Missing value
467,Đường Mai Thúc Lân, Phường Mỹ An, Quận Ngũ Hành Sơn,15800000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Missing value,132.0,6.1715045871559635,21.388625437420284,2.7620345140781106,4.425570776255708,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
468,Đường Mạc Thị bưởi, Phường Hòa Cường Nam, Quận Hải Châu,7250000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,85.0,6.1715045871559635,13.77297850136912,4.0,6.0,Missing value,7.0,Missing value,Missing value,Missing value,Missing value
