Route,Ward,District,Price,Type Of New,Type Of Estate,Owned,Legal,Square,Width,Length,Floors,Bedrooms,Direction,Road,DinningRoom,Kitchen,Terrace,Garage
22 Đường Phạm Ngọc Mậu, Phường An Khê, Quận Thanh Khê,7600000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,110,6,,4,4,,10,Y,Y,Y,Y
Đường Lê Văn Long, Phường Thanh Bình, Quận Hải Châu,6200000000,Cần bán,Nhà mặt tiền,,,69,4.5,15.3,4,4,,5.5,,,,
Đường Phạm Văn Nghị, Phường Thạc Gián, Quận Thanh Khê,11000000000,Cần bán,Nhà mặt tiền,,,85,6.47,16.46,3,4,,7.5,,,,
Đường Thăng Long, Phường Hòa Cường Nam, Quận Hải Châu,20000000000,Cần bán,"Biệt thự, nhà liền kề",,Sổ hồng/ Sổ đỏ,150,7.5,20,3,4,Đông Nam,15,Y,Y,,Y
Đường Nguyễn Hữu Thọ, Phường Khuê Trung, Quận Cẩm Lệ,12000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,157,5.1,31,,,Đông,30,,,,Y
Đường Hoàng Tăng Bí, Phường Hòa An, Quận Cẩm Lệ,4150000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,110,5,22,,,Tây,10,,,,
Đường Trần Phú, Phường Phước Ninh, Quận Hải Châu,41000000000,Cần bán,Nhà mặt tiền,,,158,6.9,22,1,3,,10,,,,
Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu,2050000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,67,5,13.5,1,5,Tây Nam,3.5,,,,
Đường Tân An 2, Phường Hòa Cường Bắc, Quận Hải Châu,6150000000,Cần bán,Nhà mặt tiền,,Giấy tờ hợp lệ,74,4.5,16.5,3,2,Bắc,5.5,,,,
Đường Dương Thưởng, Phường Hòa Cường, Quận Hải Châu,7900000000,Cần bán,Nhà mặt tiền,,,93,4.8,19,2,3,Tây Nam,5.5,,,,
Đường Lý Tự Trọng, Phường Thanh Bình, Quận Hải Châu,9850000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,105,,,6,11,,5,Y,Y,Y,Y
Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu,2600000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,108,5,21.8,,,Bắc,3,,,,
Đường Trương Công Hy, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,6600000000,Cần bán,Nhà mặt tiền,,,105,5,21,3,3,,7.5,,,,
Đường Lê Đình Thám, Phường Hòa Thuận Đông, Quận Hải Châu,8750000000,Cần bán,Nhà mặt tiền,,,54,4.5,12,3,4,,10,Y,Y,Y,Y
Đường Nguyễn Sinh Sắc, Phường Hòa Minh, Quận Liên Chiểu,4500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,5,5,Tây Nam,7.5,Y,,Y,Y
Đường Tùng Lâm 3, Phường Hòa Xuân, Quận Cẩm Lệ,2750000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Bắc,5.5,,,,Y
Đường Trần Thủ Độ, Phường Khuê Trung, Quận Cẩm Lệ,6800000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,108,5,21.6,,,Đông Nam,10,,,,
Đường Vũng Thùng 3, Phường Nại Hiên Đông, Quận Sơn Trà,3700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Bắc,5.5,,,,Y
song hào Đường Song Hào, Phường Hòa Hải, Quận Ngũ Hành Sơn,26000000000,Cần bán,"Biệt thự, nhà liền kề",,Sổ hồng/ Sổ đỏ,500,,,3,5,,33,Y,Y,Y,Y
Đường An Thượng 29, Phường Mỹ An, Quận Ngũ Hành Sơn,52000000000,Cần bán,"Nhà hàng, khách sạn",,Sổ hồng/ Sổ đỏ,162,9,18,12,45,Đông Nam,5.5,Y,Y,Y,Y
Đường Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu,2050000000,Cần bán,"Đất nền, liền kề, đất dự án",,,100,5,20,,,Đông Nam,5.5,,,,
Đường Khuê Mỹ Đông 15, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,11200000000,Cần bán,Nhà mặt tiền,,,102,6,,4,7,Nam,7.5,Y,Y,Y,Y
Đường Bùi Hữu Nghĩa, Phường An Hải Bắc, Quận Sơn Trà,4950000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,60,,,1,3,Tây,4,,,,
Đường Vạn Tường, Phường Hòa Hải, Quận Ngũ Hành Sơn,3700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,116,7.5,15.5,5,5,Đông Nam,7.5,,,,
Đường Võ Nguyên Giáp, Phường Mỹ An, Quận Ngũ Hành Sơn,300000000,Cần bán,Căn hộ chung cư,,Sổ hồng/ Sổ đỏ,32,4,8,25,1,,33,Y,Y,Y,Y
Đường Đống Đa, Phường Thạch Thang, Quận Hải Châu,4800000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,68,6,12.3,3,3,,5,Y,Y,Y,Y
Đường Bùi Viện, Phường Hòa Cường Nam, Quận Hải Châu,6200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,88,,,,,Đông Nam,5.5,,,,
Đường Ông Ích Khiêm, Phường Nam Dương, Quận Hải Châu,2200000000,Cần bán,Nhà trong hẻm,,,38,4.4,9.2,2,2,,3,Y,Y,,
Đường Trương Chí Cương, Phường Hòa Cường Nam, Quận Hải Châu,4300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,77,,,,,Tây Bắc,5,,,,
Đường Đa Phước 10, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,5700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,85,5,17,3,4,Tây Nam,7.5,,,,
Đường Ngô Thế Vinh, Phường Hòa Thuận Tây, Quận Hải Châu,7000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,109,,,,,Tây Nam,5.5,,,,
Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,50000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,117,5,23.4,8,6,Bắc,20,,,,
