Route,Ward,District,Price,Type Of New,Type Of Estate,Owned,Legal,Square,Width,Length,Floors,Bedrooms,Direction,Road,DinningRoom,Kitchen,Terrace,Garage
Đường Cồn Dầu 7, Phường Hòa Xuân, Quận Cẩm Lệ,3180000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Bắc,5,,,,
Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê,11900000000,Cần bán,Nhà mặt tiền,,,67,,,3,4,,7,,,,
Đường Phan Thao, Phường Hòa Xuân, Quận Cẩm Lệ,8200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,178,8,24,,,Tây Nam,10,,,,
Đường Phù Đổng, Phường Hòa Xuân, Quận Cẩm Lệ,3060000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây,5,,,,
Đường Ngũ Hành Sơn, Phường Mỹ An, Quận Ngũ Hành Sơn,12500000000,Cần bán,"Phòng trọ, nhà trọ",,,351,,,5,18,,5,,,,
Đường Triệu Nữ Vương, Phường Hải Châu II, Quận Hải Châu,20000000000,Cần bán,Nhà mặt tiền,,,55,6.55,16,5,11,,10,,,,
Đường Khương Hữu Dụng, Phường Hòa Xuân, Quận Cẩm Lệ,3550000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,115,5,23,,,Tây Bắc,7,,,,
Đường Tùng Lâm 8, Phường Hòa Xuân, Quận Cẩm Lệ,2650000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây,5,,,,
Đường Cồn Dầu 7, Phường Hòa Xuân, Quận Cẩm Lệ,3200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Bắc,5,,,,
Đường Tôn Thất Dương Kỵ, Phường Hòa Xuân, Quận Cẩm Lệ,5950000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,3,3,Tây Nam,7,,,,
Đường Bình Thái 1, Phường Hòa Thọ Đông, Quận Cẩm Lệ,7000000000,Cần bán,Nhà mặt tiền,,,234,,,1,3,,5,,,,
Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn,13900000000,Cần bán,"Nhà hàng, khách sạn",,,99,,,18,,,6,,,,
Đường Lê Duẩn, Phường Tân Chính, Quận Thanh Khê,4300000000,Cần bán,Nhà mặt tiền,,,114,,,1,2,,7,,,,
Đường Phạm Văn Nghị, Phường Thạc Gián, Quận Thanh Khê,9200000000,Cần bán,Nhà mặt tiền,,,60,,,2,3,,5,,,,
Đường Triệu Nữ Vương, Phường Hải Châu II, Quận Hải Châu,20000000000,Cần bán,Nhà mặt tiền,,,123,,,5,7,,5,,,,
Đường Tiên Sơn 8, Phường Hòa Cường Nam, Quận Hải Châu,5000000000,Cần bán,Nhà mặt tiền,,,92,4.5,17.5,1,3,,7.5,Y,Y,,
Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ,2000000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,53,4.5,,2,2,Nam,4,Y,Y,Y,Y
Đường Tiên Sơn 10, Phường Hòa Cường Nam, Quận Hải Châu,6150000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,88,,,,,,5,,,,
Đường Lương Ngọc Quyến, Phường Thanh Bình, Quận Hải Châu,13500000000,Cần bán,Nhà mặt tiền,,,141,,,2,3,,5,,,,
Đường Cồn Dầu 7, Phường Hòa Xuân, Quận Cẩm Lệ,3180000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Bắc,5,,,,
Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu,5950000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,83,7,12,4,3,Đông Bắc,6,,,,
Đường Phan Thao, Phường Hòa Xuân, Quận Cẩm Lệ,8200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,178,8,24,,,Tây Nam,10,,,,
Đường Trung Lương 2, Phường Hòa Xuân, Quận Cẩm Lệ,3180000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông Nam,5,,,,
Đường Lê Hiến Mai, Phường Hòa Minh, Quận Liên Chiểu,4500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,139,,,,,,7,,,,
Đường Lê Trọng Tấn, Phường Hòa Phát, Quận Cẩm Lệ,4700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,102,5,22,2,2,Nam,10,Y,Y,Y,Y
Đường Nguyễn Thành Hãn, Phường Hòa Cường Nam, Quận Hải Châu,12000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,161,6.9,25,,,Đông Bắc,7.5,,,,
Đường Tùng Lâm 8, Phường Hòa Xuân, Quận Cẩm Lệ,2650000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây,5,,,,
Đường Nguyễn Đình Thi, Phường Hòa Xuân, Quận Cẩm Lệ,16500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,300,12,25,,,Đông Nam,7,,,,
Đường Cồn Dầu 7, Phường Hòa Xuân, Quận Cẩm Lệ,3200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Bắc,5,,,,
Đường Tôn Thất Dương Kỵ, Phường Hòa Xuân, Quận Cẩm Lệ,5950000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,3,3,Tây Nam,7,,,,
Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà,27500000000,Cần bán,"Nhà hàng, khách sạn",,Sổ hồng/ Sổ đỏ,100,5,20,8,22,,25,,,,
Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu,11700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,90,5,16,2,2,Bắc,11,,,,
Đường Tiên Sơn 10, Phường Hòa Cường Nam, Quận Hải Châu,6150000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,88,,,,,,5,,,,
Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ,4700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,143,5.5,26,,,Đông Bắc,7.5,,,,
Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu,5950000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,83,7,12,4,3,Đông Bắc,6,,,,
Đường Nhất Chi Mai, Phường Hòa Thọ Đông, Quận Cẩm Lệ,4900000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,125,5,25,2,3,Tây Bắc,7.5,,,,
Đường Phước Lý 17, Phường Hòa Minh, Quận Liên Chiểu,2450000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,90,5,18,,,Đông Nam,5.5,,,,
Đường Bàu Mạc 15, Phường Hòa Khánh Bắc, Quận Liên Chiểu,3180000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông Nam,7.5,,,,
Đường Lê Trọng Tấn, Phường Hòa Phát, Quận Cẩm Lệ,4700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,102,5,22,2,2,Nam,10,Y,Y,Y,Y
Đường Nguyễn Thành Hãn, Phường Hòa Cường Nam, Quận Hải Châu,12000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,161,6.9,25,,,Đông Bắc,7.5,,,,
Đường Bình Hòa 5, Phường Hòa Xuân, Quận Cẩm Lệ,6500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,97,4.5,110,3,3,Bắc,3.5,,,,
Đường Tú Mỡ, Phường Hòa An, Quận Cẩm Lệ,6900000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,118,5,23,3,8,Tây Bắc,10,,,,
Đường Nguyễn Đức Thiệu, Phường Hòa Thọ Đông, Quận Cẩm Lệ,4250000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,142,5,22,,,Đông Nam,5.5,,,,
Đường Phú Lộc 8, Phường Hòa Minh, Quận Liên Chiểu,3700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,75,5,15,2,2,Tây,5.5,,,,
Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà,27500000000,Cần bán,"Nhà hàng, khách sạn",,Sổ hồng/ Sổ đỏ,100,5,20,8,22,,25,,,,
Đường Hàn Mạc Tử, Phường Thanh Bình, Quận Hải Châu,4900000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,62,4,16,2,2,Tây,5.5,,,,
Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu,11700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,90,5,16,2,2,Bắc,11,,,,
Đường Bình Hòa 14, Phường Khuê Trung, Quận Cẩm Lệ,3750000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,79,5,16,3,3,Tây Nam,4,,,,
Đường Cẩm Bắc 4, Phường Hòa Thọ Đông, Quận Cẩm Lệ,3100000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,78,6,13,,,Đông,5.5,,,,
Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ,4700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,143,5.5,26,,,Đông Bắc,7.5,,,,
Đường Phước Lý 17, Phường Hòa Minh, Quận Liên Chiểu,2450000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,90,5,18,,,Đông Nam,5.5,,,,
Đường Bàu Mạc 15, Phường Hòa Khánh Bắc, Quận Liên Chiểu,3180000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông Nam,7.5,,,,
Đường Bình Hòa 1, Phường Khuê Trung, Quận Cẩm Lệ,3300000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,59,5,11,2,2,Tây Nam,4,,,,
Đường Trần Quý Khoách, Phường Hòa Minh, Quận Liên Chiểu,3490000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,85,5,17,,,Đông,5.5,,,,
Đường Tôn Đức Thắng, Phường Hòa An, Quận Cẩm Lệ,2050000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,67,5,14,1,5,Tây Nam,3,,,,
Đường Thích Phước Huệ, Phường Hòa Hải, Quận Ngũ Hành Sơn,3200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,132,5,26,,,Bắc,7.5,,,,
Đường Tôn Đản, Phường Hòa Thọ Tây, Quận Cẩm Lệ,2450000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,89,5,18,,,Tây Nam,7.5,,,,
Đường Nguyễn Đức Thiệu, Phường Hòa Thọ Đông, Quận Cẩm Lệ,4250000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,142,5,22,,,Đông Nam,5.5,,,,
Đường Cẩm Bắc 4, Phường Hòa Thọ Đông, Quận Cẩm Lệ,3180000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,78,6,13,1,3,Tây Nam,5.5,,,,
Đường Hàn Mạc Tử, Phường Thanh Bình, Quận Hải Châu,4900000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,62,4,16,2,2,Tây,5.5,,,,
Đường Kiều Sơn Đen, Phường Hòa Xuân, Quận Cẩm Lệ,2960000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,112,5,22,,,Nam,5.5,,,,
Đường Mỹ An 7, Phường Mỹ An, Quận Ngũ Hành Sơn,6000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông,5.5,,,,
Đường Cổ Mân Mai 3, Phường Hòa Xuân, Quận Cẩm Lệ,2050000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông,55,,,,
Đường Bùi Tấn Diên, Phường Hòa Minh, Quận Liên Chiểu,3650000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,110,5,22,,,Tây Nam,10,,,,
Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn,3950000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,98,3.5,28,1,4,Đông,4,,,,
Đường Nguyễn Lương Bằng, Phường Hòa Hiệp Nam, Quận Liên Chiểu,4000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,74,4,19,,,Tây Nam,30,,,,
Đường Hòa Nam 5, Phường Hòa Minh, Quận Liên Chiểu,4000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,112,5,22,2,4,Bắc,7.5,,,,
Đường Lê Thạch, Phường Hòa An, Quận Cẩm Lệ,3800000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,125,5,25,,,Đông Bắc,7.5,,,,
Đường Trường Chinh, Phường Hòa Thọ Đông, Quận Cẩm Lệ,1960000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,120,5,24,1,1,Tây Nam,2.5,,,,
Đường Trần Đình Nam, Phường Hòa An, Quận Cẩm Lệ,2550000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,87,5,18,1,2,Đông Bắc,5,,,,
Đường Nhơn Hòa 18, Phường Hòa An, Quận Cẩm Lệ,2990000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông Bắc,5.5,,,,
Đường Hoàng Sâm, Phường Hòa Xuân, Quận Cẩm Lệ,5800000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,155,8,20,,,,5.5,,,,
Đường Trần Quý Khoách, Phường Hòa Minh, Quận Liên Chiểu,3490000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,85,5,17,,,Đông,5.5,,,,
Đường Lý Tế Xuyên, Phường Hòa Thọ Đông, Quận Cẩm Lệ,3260000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,70,5,14,,,Nam,5.5,,,,
Đường Huỳnh Lắm, Phường Hòa Hải, Quận Ngũ Hành Sơn,3200000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,88,5,17,2,3,Bắc,5.5,,,,
Đường Minh Mạng, Phường Hòa Quý, Quận Ngũ Hành Sơn,3750000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,110,5,22,,,Tây Nam,7.5,,,,
Đường Khái Tây 2, Phường Hòa Quý, Quận Ngũ Hành Sơn,2450000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,1,1,Tây Bắc,5.5,,,,
Đường Gò Nãy 5, Phường Hòa Minh, Quận Liên Chiểu,3250000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,85,5,17,,,Tây Bắc,5.5,,,,
Đường Nguyễn Xí, Phường Hòa Minh, Quận Liên Chiểu,5300000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,125,5,25,2,2,Đông Bắc,7.5,,,,
Đường Tú Quỳ, Phường Hòa Minh, Quận Liên Chiểu,3600000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,100,5,20,1,5,Tây Nam,7.5,,,,
Đường Trịnh Lỗi, Phường Mỹ An, Quận Ngũ Hành Sơn,4600000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Nam,7.5,,,,
Đường Cổ Mân Mai 3, Phường Hòa Xuân, Quận Cẩm Lệ,2050000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông,55,,,,
Đường Trần Quý Khoách, Phường Hòa Minh, Quận Liên Chiểu,3450000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,85,5,17,,,Tây Nam,5.5,,,,
Đường Trường Sơn, Phường Hòa Thọ Tây, Quận Cẩm Lệ,2550000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Bắc,15,,,,
Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn,3950000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,98,3.5,28,1,4,Đông,4,,,,
Đường Lê Như Hổ, Phường Hòa Hải, Quận Ngũ Hành Sơn,4250000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,125,5,25,,,Đông Nam,7.5,,,,
Đường Đà Sơn, Phường Hòa Khánh Nam, Quận Liên Chiểu,2250000000,Cần bán,Nhà trong hẻm,,,96,4,24,2,1,,4,,,,
Đường Đỗ Quang, Phường Vĩnh Trung, Quận Thanh Khê,7000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,53,5,10,3,1,Đông,5.5,,,,
Đường Võ Sạ, Phường Hòa Xuân, Quận Cẩm Lệ,3150000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Bắc,5.5,,,,
Đường Thích Phước Huệ, Phường Hòa Hải, Quận Ngũ Hành Sơn,3250000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,132,5,26,,,Bắc,7.5,,,,
Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu,3300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,113,4.5,25,,,Tây Bắc,27,,,,
Đường Đoàn Hữu Trưng, Phường Hòa An, Quận Cẩm Lệ,3900000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,102,5,20,1,1,Tây,7.5,,,,
Đường Lê Thiệt, Phường Hòa Minh, Quận Liên Chiểu,3150000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,72,4.5,16,,,,5.5,,,,
Đường Đoàn Nguyễn Thục, Phường Hòa Thọ Đông, Quận Cẩm Lệ,3300000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,80,6,13,,,Tây Nam,5.5,,,,
Đường Hoài Thanh, Phường Mỹ An, Quận Ngũ Hành Sơn,4200000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,95,5,20,2,3,Đông,7.5,,,,
Đường Hòa Minh 1, Phường Hòa Minh, Quận Liên Chiểu,3350000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,72,4.5,18,,,Đông Bắc,5.5,,,,
Đường Phú Xuân 1, Phường Hòa Minh, Quận Liên Chiểu,3800000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Nam,6,,,,
Đường Cổ Mân Mai 3, Phường Hòa Xuân, Quận Cẩm Lệ,2620000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,2,20,,,Đông,5.5,,,,
Đường Bàu Năng 10, Phường Hòa Minh, Quận Liên Chiểu,3700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,85,5,17,,,Tây Bắc,5.5,,,,
Đường Thích Phước Huệ, Phường Hòa Hải, Quận Ngũ Hành Sơn,3150000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,132,5,26,,,Bắc,7.5,,,,
Đường Mai Chí Thọ, Phường Hòa Xuân, Quận Cẩm Lệ,15000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,263,24,10.5,,,Đông Nam,7.5,,,,
Đường Hoàng Minh Giám, Phường Hòa Xuân, Quận Cẩm Lệ,3000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Nam,5.5,,,,
109 Đường Hoàng Thị Ái, Phường Hòa Xuân, Quận Cẩm Lệ,2900000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,105,5,21,,,Bắc,7.5,,,,
Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu,3400000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,112,4.5,25,,,Tây Bắc,27,,,,
Đường Nhơn Hòa 16, Phường Hòa An, Quận Cẩm Lệ,2980000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,,5.5,,,,
Đường Lưu Nhân Chú, Phường Khuê Trung, Quận Cẩm Lệ,3450000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,70,5,14,1,2,Đông Nam,5.5,,,,
Đường Huỳnh Tịnh Của, Phường Hòa Xuân, Quận Cẩm Lệ,2700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,117,5,23,,,Tây,5.5,,,,
Đường Phan Văn Định, Phường Hòa Khánh Bắc, Quận Liên Chiểu,46000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,353,8.9,40,,,Đông Nam,10,,,,
Đường Nguyễn Phước Lan, Phường Hòa Xuân, Quận Cẩm Lệ,12800000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Nam,33,,,,
Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu,3300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,113,4.5,25,,,Tây Bắc,27,,,,
Đường Phạm Tứ, Phường Khuê Trung, Quận Cẩm Lệ,5600000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông Nam,10,,,,
Đường Ngô Tất Tố, Phường Hòa Cường Bắc, Quận Hải Châu,11900000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,105,6,18,,,Tây,10,,,,
Đường Đoàn Khuê, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,10200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,200,10,20,,,Tây Nam,11,,,,
100 Đường Duy Tân, Phường Hòa Thuận Tây, Quận Hải Châu,18000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,133,6,23,1,2,Tây Nam,10,,,,
Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ,5700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,107,4,25,,,Tây Bắc,33,,,,
Đường Lưu Quý Kỳ, Phường Hòa Cường Nam, Quận Hải Châu,8200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,77,4.5,17,,,Bắc,10,,,,
Đường Bà Huyện Thanh Quan, Phường Mỹ An, Quận Ngũ Hành Sơn,5500000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,190,5,20,2,3,Đông Bắc,5,,Y,Y,
Đường Thăng long, Phường Khuê Trung, Quận Cẩm Lệ,30000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,408,30,20,,,Đông Nam,10,,,,
109 Đường Hoàng Thị Ái, Phường Hòa Xuân, Quận Cẩm Lệ,2900000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,105,5,21,,,Bắc,7.5,,,,
Đường Ngô Tất Tố, Phường Hòa Cường Bắc, Quận Hải Châu,12000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,105,6,19,3,,Tây,10,,,,
Đường Trần Kim Xuyến, Phường Hòa Xuân, Quận Cẩm Lệ,3630000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Nam,7.5,,,,
Đường Duy Tân, Phường Hòa Thuận Tây, Quận Hải Châu,18000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,133,5,23,1,2,Tây Nam,10,,,,
Đường Nguyễn Lữ, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,26300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,489,18,22.5,,,Đông,7.5,,,,
Đường Đoàn Khuê, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,10700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,200,10,20,,,Tây Nam,11,,,,
Đường Huỳnh Tịnh Của, Phường Hòa Xuân, Quận Cẩm Lệ,2700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,117,5,23,,,Tây,5.5,,,,
Đường 2/9, Phường Bình Hiên, Quận Hải Châu,40000000000,Cần bán,Nhà mặt tiền,,,114,,,2,3,,20,,,,
Đường Đỗ Quang, Phường Vĩnh Trung, Quận Thanh Khê,7000000000,Cần bán,Nhà mặt tiền,,,51,,,2,3,,7,,,,
Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu,28000000000,Cần bán,Nhà mặt tiền,,,155,,,4,6,,7,,,,
Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,1.90E+11,Cần bán,Nhà mặt tiền,,,590,,,3,5,,20,,,,
Đường Đặng Tử Kính, Phường Hải Châu I, Quận Hải Châu,10200000000,Cần bán,Nhà mặt tiền,,,75,,,3,4,,7,,,,
Đường Võ Văn Kiệt, Phường Phước Mỹ, Quận Sơn Trà,12600000000,Cần bán,Nhà mặt tiền,,,151,,,1,1,,10,,,,
Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,55000000000,Cần bán,Nhà mặt tiền,,,161,,,3,4,,7,,,,
Đường Ngô Văn Sở, Phường Hòa Khánh Nam, Quận Liên Chiểu,10000000000,Cần bán,Nhà mặt tiền,,,120,,,4,6,,7,,,,
Đường Tôn Quang Phiệt, Phường An Hải Bắc, Quận Sơn Trà,8000000000,Cần bán,Nhà mặt tiền,,,102,,,3,10,,7,,,,
Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà,12600000000,Cần bán,Nhà mặt tiền,,,152,,,1,1,,7,,,,
Đường Hải Phòng, Phường Thạch Thang, Quận Hải Châu,20000000000,Cần bán,Nhà mặt tiền,,,96,,,1,2,,7,,,,
Đường Nguyễn Đăng Đạo, Phường Khuê Trung, Quận Cẩm Lệ,28000000000,Cần bán,Nhà mặt tiền,,,429,,,2,3,,7,,,,
Đường Hà Xuân 1, Phường Chính Gián, Quận Thanh Khê,4250000000,Cần bán,Nhà mặt tiền,,,79,,,2,2,,7,,,,
Đường Thi Sách, Phường Hòa Thuận Tây, Quận Hải Châu,4500000000,Cần bán,Nhà trong hẻm,,,85,5,17,1,1,,6,,,,
